prefix,country,city
138.0.0.0/11,Australia,Brisbane
139.0.0.0/11,Singapore,Singapore
140.0.0.0/11,Taiwan,Taipei
142.0.0.0/11,Canada,Toronto
142.250.0.0/15,United States,Mountain View
144.0.0.0/11,United States,Tucson
146.0.0.0/11,United States,New York
148.0.0.0/11,United States,Detroit
149.0.0.0/11,United States,Ashburn
150.0.0.0/11,United States,Los Angeles
151.0.0.0/11,Italy,Naples
152.0.0.0/11,United States,Springfield
152.67.0.0/16,India,Mumbai
154.0.0.0/11,South Africa,Cape Town
156.0.0.0/11,United States,Dallas
157.0.0.0/11,Brazil,Sao Paulo
158.0.0.0/11,United States,San Jose
159.0.0.0/11,Brazil,Brasilia
160.0.0.0/11,United States,Ann Arbor
161.0.0.0/11,Brazil,Campinas
162.0.0.0/11,United States,Chicago
163.0.0.0/11,Taiwan,Taipei
164.0.0.0/11,United States,Reston
165.0.0.0/11,United States,Dallas
166.0.0.0/11,United States,New York
167.0.0.0/11,United States,San Jose
168.0.0.0/11,United States,Reston
169.0.0.0/11,United States,Dallas
170.0.0.0/11,Brazil,Sao Paulo
171.0.0.0/11,China,Chengdu
172.0.0.0/12,United States,Dallas
173.0.0.0/11,United States,Seattle
174.0.0.0/11,Canada,Vancouver
175.0.0.0/11,China,Shanghai
176.0.0.0/11,Germany,Berlin
177.0.0.0/11,Brazil,Sao Paulo
178.0.0.0/11,Russia,Moscow
179.0.0.0/11,Brazil,Brasilia
180.0.0.0/11,China,Shenzhen
181.0.0.0/11,Brazil,Rio de Janeiro
182.0.0.0/11,China,Beijing
183.0.0.0/11,China,Shanghai
184.0.0.0/11,United States,Dallas
185.0.0.0/11,Netherlands,Amsterdam
186.0.0.0/11,Brazil,Sao Paulo
187.0.0.0/11,Brazil,Manaus
188.0.0.0/11,Russia,Moscow
189.0.0.0/11,Brazil,Sao Paulo
190.0.0.0/11,Brazil,Brasilia
191.0.0.0/11,Brazil,Rio de Janeiro
192.0.0.0/14,United States,Mountain View
192.30.252.0/22,United States,San Francisco
192.168.0.0/16,Private,LAN
193.0.0.0/11,Netherlands,Amsterdam
194.0.0.0/11,France,Paris
195.0.0.0/11,Russia,Moscow
196.0.0.0/11,South Africa,Johannesburg
197.0.0.0/11,Kenya,Nairobi
198.0.0.0/11,United States,Dallas
198.41.128.0/17,United States,San Jose
199.0.0.0/11,United States,Dallas
200.0.0.0/11,Brazil,Sao Paulo
201.0.0.0/11,Brazil,Curitiba
202.0.0.0/11,China,Beijing
203.0.0.0/11,Australia,Canberra
204.0.0.0/11,United States,Dallas
205.0.0.0/11,Canada,Ottawa
206.0.0.0/11,United States,San Francisco
207.0.0.0/11,United States,Los Angeles
208.0.0.0/11,United States,New York
208.67.220.0/22,United States,San Francisco
209.0.0.0/11,United States,Dallas
210.0.0.0/12,Japan,Tokyo
211.0.0.0/11,Australia,Sydney
212.0.0.0/11,France,Paris
213.0.0.0/11,Germany,Hamburg
214.0.0.0/11,United States,Washington
215.0.0.0/11,United States,Columbus
216.0.0.0/11,United States,Chicago
216.58.192.0/19,United States,Mountain View
216.239.32.0/19,United States,Mountain View
217.0.0.0/11,Germany,Frankfurt
218.0.0.0/12,South Korea,Seoul
219.0.0.0/11,South Korea,Busan
220.0.0.0/12,Australia,Melbourne
221.0.0.0/11,China,Beijing
222.0.0.0/11,China,Shanghai
223.0.0.0/11,China,Shenzhen
